Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,31.100000,31.200001,29.100000,29.450001,29.450001,34505927
2020-09-22,29.400000,29.650000,28.250000,28.700001,28.700001,48850235
2020-09-23,29.000000,29.200001,27.799999,28.450001,28.450001,58804280
2020-09-24,27.950001,28.100000,26.850000,27.000000,27.000000,36434268
2020-09-25,27.350000,29.500000,27.150000,29.350000,29.350000,46588568
2020-09-28,29.500000,30.600000,29.299999,30.400000,30.400000,33387671
2020-09-29,30.750000,30.750000,29.600000,30.049999,30.049999,30160389
2020-09-30,30.150000,30.350000,29.650000,29.950001,29.950001,36572003
2020-10-01,30.049999,30.700001,30.000000,30.350000,30.350000,55354651
2020-10-05,30.700001,31.150000,30.000000,30.200001,30.200001,52168543
2020-10-06,30.500000,31.450001,30.400000,31.150000,31.150000,35098612
2020-10-07,31.100000,31.700001,30.650000,31.600000,31.600000,31940845
2020-10-08,31.750000,31.950001,31.200001,31.500000,31.500000,23377130
2020-10-09,31.450001,32.150002,31.000000,31.950001,31.950001,33136771
2020-10-12,31.950001,32.250000,31.000000,31.150000,31.150000,20609967
2020-10-13,31.049999,31.500000,30.600000,31.400000,31.400000,17105611
2020-10-14,31.250000,31.400000,30.400000,31.250000,31.250000,19779809
2020-10-15,31.100000,31.600000,29.750000,30.049999,30.049999,21897848
2020-10-16,30.250000,30.850000,29.900000,30.700001,30.700001,23681817
2020-10-19,30.700001,31.850000,30.600000,31.750000,31.750000,29057276
2020-10-20,31.299999,31.750000,31.200001,31.600000,31.600000,16824177
2020-10-21,31.700001,32.099998,30.700001,31.250000,31.250000,22921369
2020-10-22,31.000000,32.000000,30.750000,31.750000,31.750000,22481053
2020-10-23,31.750000,31.950001,31.299999,31.450001,31.450001,13830910
2020-10-26,31.450001,31.600000,30.250000,30.600000,30.600000,23749633
2020-10-27,30.549999,31.500000,29.799999,31.100000,31.100000,23696995
2020-10-28,31.250000,31.700001,30.650000,30.900000,30.900000,19971537
2020-10-29,30.549999,30.750000,30.000000,30.549999,30.549999,25030914
2020-10-30,30.549999,31.299999,30.250000,30.600000,30.600000,21091250
2020-11-02,31.100000,31.100000,29.900000,30.250000,30.250000,30651843
2020-11-03,30.500000,30.700001,30.100000,30.500000,30.500000,22004786
2020-11-04,30.299999,30.750000,30.000000,30.600000,30.600000,23009640
2020-11-05,30.700001,31.250000,30.600000,31.150000,31.150000,25144881
2020-11-06,31.200001,31.950001,31.100000,31.650000,31.650000,26654411
2020-11-09,32.000000,33.099998,31.750000,32.950001,32.950001,34606695
2020-11-10,33.200001,34.500000,32.650002,34.299999,34.299999,66128559
2020-11-11,34.400002,34.549999,32.700001,33.250000,33.250000,38209748
2020-11-12,33.000000,33.349998,32.549999,32.950001,32.950001,23783588
2020-11-13,32.599998,33.450001,32.000000,33.049999,33.049999,29200787
2020-11-14,null,null,null,null,null,null
2020-11-17,34.000000,34.000000,33.400002,33.599998,33.599998,20216603
2020-11-18,33.500000,34.750000,33.450001,34.299999,34.299999,30806048
2020-11-19,33.950001,34.400002,33.049999,33.400002,33.400002,27047622
2020-11-20,33.349998,33.799999,33.049999,33.599998,33.599998,19993292
2020-11-23,33.750000,38.500000,33.700001,36.849998,36.849998,127801118
2020-11-24,37.299999,37.299999,35.700001,36.900002,36.900002,48328341
2020-11-25,37.000000,37.299999,35.599998,35.799999,35.799999,43434693
2020-11-26,35.799999,36.049999,35.049999,35.799999,35.799999,31088357
2020-11-27,36.000000,37.200001,35.750000,36.750000,36.750000,35515776
2020-12-01,37.099998,37.299999,36.549999,37.099998,37.099998,23224844
2020-12-02,37.299999,37.799999,36.349998,36.799999,36.799999,33101193
2020-12-03,37.200001,37.400002,36.750000,36.950001,36.950001,22994163
2020-12-04,37.000000,37.799999,36.400002,37.099998,37.099998,31749332
2020-12-07,37.299999,37.450001,36.599998,36.750000,36.750000,34565048
2020-12-08,37.150002,37.299999,36.450001,37.049999,37.049999,24302015
2020-12-09,37.349998,39.049999,37.000000,38.650002,38.650002,41122932
2020-12-10,38.700001,38.700001,36.799999,37.599998,37.599998,38075316
2020-12-11,37.799999,38.599998,37.049999,37.450001,37.450001,35136784
2020-12-14,37.900002,38.000000,37.500000,37.750000,37.750000,15159919
2020-12-15,37.700001,37.950001,36.849998,37.750000,37.750000,19420642
2020-12-16,38.000000,38.150002,37.549999,37.750000,37.750000,14987280
2020-12-17,37.750000,37.950001,37.250000,37.400002,37.400002,22083576
2020-12-18,37.500000,37.549999,36.200001,36.950001,36.950001,22980485
2020-12-21,36.500000,36.700001,33.650002,34.250000,34.250000,38446940
2020-12-22,34.000000,34.750000,32.900002,34.599998,34.599998,42476231
2020-12-23,34.650002,36.099998,34.400002,35.900002,35.900002,20477842
2020-12-24,36.150002,36.500000,35.650002,35.900002,35.900002,18306842
2020-12-28,36.250000,37.200001,36.000000,36.950001,36.950001,22885983
2020-12-29,37.200001,37.549999,36.250000,36.700001,36.700001,18963239
2020-12-30,36.849998,36.950001,35.900002,36.650002,36.650002,19633682
2020-12-31,36.500000,37.500000,36.250000,37.049999,37.049999,25499169
2021-01-01,37.049999,37.599998,36.849998,37.400002,37.400002,12858049
2021-01-04,37.950001,39.150002,37.700001,38.599998,38.599998,48722834
2021-01-05,38.250000,39.950001,37.900002,39.700001,39.700001,54314659
2021-01-06,39.750000,42.849998,38.500000,41.400002,41.400002,80681106
2021-01-07,43.500000,47.599998,42.400002,45.799999,45.799999,201972764
2021-01-08,46.799999,46.950001,43.849998,44.400002,44.400002,74289673
2021-01-11,44.750000,45.099998,43.250000,44.450001,44.450001,39358606
2021-01-12,44.000000,48.450001,43.500000,47.150002,47.150002,90521255
2021-01-13,47.750000,47.799999,45.150002,46.049999,46.049999,56558691
2021-01-14,46.250000,47.349998,45.799999,46.250000,46.250000,29310346
2021-01-15,46.400002,49.549999,45.849998,48.450001,48.450001,99486620
2021-01-18,48.650002,48.750000,45.799999,46.650002,46.650002,51656962
2021-01-19,47.099998,50.700001,47.099998,50.150002,50.150002,72082670
2021-01-20,50.750000,52.450001,49.450001,51.450001,51.450001,98044307
2021-01-21,51.950001,52.000000,48.799999,49.700001,49.700001,55907468
2021-01-22,50.000000,50.750000,48.299999,49.500000,49.500000,55567022
2021-01-25,50.299999,50.650002,47.549999,48.049999,48.049999,37299052
2021-01-27,48.000000,49.200001,46.900002,47.799999,47.799999,37095806
2021-01-28,47.099998,49.150002,46.950001,47.900002,47.900002,50095946
2021-01-29,48.500000,49.299999,46.950001,47.200001,47.200001,42499626
2021-02-01,45.799999,47.150002,43.750000,46.599998,46.599998,91266329
2021-02-02,47.150002,48.950001,46.549999,47.700001,47.700001,56064941
2021-02-03,48.200001,48.299999,47.099998,47.650002,47.650002,28568238
2021-02-04,47.700001,49.500000,47.349998,49.049999,49.049999,41320998
2021-02-05,49.500000,50.799999,48.049999,48.299999,48.299999,61029118
2021-02-08,48.950001,49.400002,48.599998,49.150002,49.150002,25004704
2021-02-09,49.400002,52.200001,48.299999,50.000000,50.000000,79600142
2021-02-10,50.450001,51.000000,49.500000,50.549999,50.549999,39925669
2021-02-11,50.599998,53.000000,50.099998,52.549999,52.549999,68713073
2021-02-12,52.849998,52.950001,51.450001,52.099998,52.099998,45538017
2021-02-15,52.599998,54.500000,52.000000,54.099998,54.099998,63488266
2021-02-16,54.450001,54.599998,52.700001,53.849998,53.849998,46908035
2021-02-17,53.799999,57.500000,52.900002,56.400002,56.400002,84077529
2021-02-18,56.799999,58.900002,55.900002,58.099998,58.099998,64960498
2021-02-19,58.500000,66.800003,57.599998,62.400002,62.400002,261417989
2021-02-22,63.000000,63.849998,60.700001,61.500000,61.500000,105148761
2021-02-23,61.400002,63.349998,61.099998,61.400002,61.400002,61275241
2021-02-24,61.799999,64.349998,61.299999,63.799999,63.799999,39413798
2021-02-25,64.949997,65.800003,64.400002,64.699997,64.699997,70565771
2021-02-26,63.500000,64.400002,62.400002,63.450001,63.450001,53553669
2021-03-01,64.349998,64.500000,62.700001,63.450001,63.450001,33031626
2021-03-02,63.750000,65.099998,63.400002,64.500000,64.500000,39385820
2021-03-03,64.800003,68.150002,64.500000,67.099998,67.099998,65259145
2021-03-04,65.949997,69.300003,65.599998,68.199997,68.199997,55584200
2021-03-05,68.000000,68.849998,65.949997,66.800003,66.800003,55030398
2021-03-08,67.400002,68.699997,67.000000,67.250000,67.250000,32067602
2021-03-09,67.750000,68.349998,65.599998,66.650002,66.650002,27400447
2021-03-10,67.250000,67.699997,66.349998,66.849998,66.849998,22266796
2021-03-12,67.300003,68.099998,65.300003,66.949997,66.949997,33728099
2021-03-15,67.199997,67.300003,63.700001,65.250000,65.250000,36991895
2021-03-16,65.750000,65.849998,63.049999,63.400002,63.400002,31183061
2021-03-17,63.349998,63.700001,60.650002,60.900002,60.900002,32300124
2021-03-18,61.500000,62.349998,58.450001,59.400002,59.400002,43275173
2021-03-19,58.000000,60.750000,56.000000,60.349998,60.349998,65794214
2021-03-22,60.049999,61.099998,58.750000,59.450001,59.450001,37193196
2021-03-23,59.750000,61.700001,59.500000,61.349998,61.349998,38827727
2021-03-24,60.599998,61.250000,58.500000,58.750000,58.750000,37223856
2021-03-25,58.700001,58.750000,56.000000,57.200001,57.200001,49179913
2021-03-26,58.000000,59.200001,57.349998,57.700001,57.700001,30706356
2021-03-30,58.349998,60.000000,58.000000,58.250000,58.250000,38676946
2021-03-31,59.500000,59.599998,55.299999,55.700001,55.700001,68707873
2021-04-01,56.200001,57.849998,56.150002,57.049999,57.049999,49970187
2021-04-05,57.000000,57.000000,53.750000,54.299999,54.299999,48364592
2021-04-06,54.750000,55.500000,53.849998,55.299999,55.299999,39222862
2021-04-07,55.500000,58.099998,55.099998,57.799999,57.799999,55841387
2021-04-08,58.299999,58.349998,57.099998,57.450001,57.450001,55092435
2021-04-09,56.549999,57.299999,55.500000,55.799999,55.799999,77981063
2021-04-12,53.000000,53.900002,47.500000,50.549999,50.549999,86053992
2021-04-13,51.150002,54.400002,50.900002,54.049999,54.049999,62994327
2021-04-15,53.000000,54.099998,51.500000,52.450001,52.450001,54496776
2021-04-16,52.799999,54.349998,52.450001,53.650002,53.650002,52746258
2021-04-19,50.000000,51.150002,49.400002,50.700001,50.700001,56663464
2021-04-20,51.900002,52.400002,50.200001,50.650002,50.650002,35191058
2021-04-22,50.000000,51.400002,49.150002,51.200001,51.200001,36063732
2021-04-23,50.700001,52.750000,50.500000,51.099998,51.099998,43148063
2021-04-26,51.900002,52.750000,51.599998,52.250000,52.250000,36590967
2021-04-27,52.599998,53.500000,52.349998,53.349998,53.349998,29330756
2021-04-28,53.799999,54.950001,53.549999,54.650002,54.650002,33115115
2021-04-29,55.299999,55.599998,53.849998,54.799999,54.799999,42609774
2021-04-30,54.000000,55.549999,53.599998,54.700001,54.700001,35247446
